PLAYER_ID,NAME,TEAM_ID,PLATE_APPEARANCE,AT_BAT,DOUBLE,TRIPLE,STOLEN_BASE,CAUGHT_STEALING,SACRIFICE_HIT,SACRIFICE_FLY,SALARY
163,이인혁,10431,1,1,0,0,0,0,0,0,40000
164,이재원,1047,156,127,8,0,0,0,3,2,24000
165,이재율,10431,36,32,1,1,3,1,0,0,4200
166,이정후,1049,196,165,9,0,2,2,3,3,2700
167,이종욱,10431,112,107,6,0,1,1,1,1,50000
168,이준수,10848,10,8,0,0,0,0,1,0,150000
169,이지영,1046,41,34,2,0,0,0,2,0,24000
170,이창진,10848,13,12,0,0,0,0,0,0,2800
171,이천웅,1044,67,59,3,1,2,0,1,0,6800
172,이택근,1049,123,101,9,0,0,0,2,1,15000
173,이해창,10848,68,64,3,0,0,0,1,0,7100
174,이형종,1044,133,119,9,0,1,2,1,0,35000
175,임병욱,1049,178,169,15,2,10,0,0,0,3000
176,임창민,10431,0,0,0,0,0,0,0,0,47000
177,임훈,1044,36,33,0,0,0,0,1,0,7500
178,장성우,10848,118,105,6,0,0,1,0,0,6500
179,장승현,1041,10,8,0,0,0,0,2,0,43000
180,장영석,1049,144,132,10,0,1,0,0,0,5000
181,장진혁,1042,8,8,0,1,0,0,0,0,3300
182,전민수,10848,23,19,2,0,0,0,0,0,8000
183,전준우,1045,174,162,9,1,3,2,0,1,5100
184,정경운,1042,11,10,0,0,0,0,0,1,2800
185,정근우,1042,145,131,7,1,2,1,1,1,30000
186,정범모,10431,99,91,4,0,1,0,1,2,6500
187,정상호,1044,41,36,3,0,0,0,2,0,140000
188,정수민,10431,0,0,0,0,0,0,0,0,3300
189,정은원,1042,29,26,0,0,0,0,0,1,2700
190,정의윤,1047,113,103,7,0,1,1,0,1,150000
191,정주현,1044,60,53,1,0,6,0,0,0,29000
192,정진기,1047,133,124,5,1,6,1,2,0,4000
193,정진호,1041,117,109,4,1,4,1,1,0,6300
194,정현,10848,52,46,3,0,1,0,2,0,3200
195,정훈,1045,43,39,4,0,2,0,0,2,10000
196,조동찬,1046,38,36,1,0,0,0,1,0,150000
197,조상우,1049,0,0,0,0,0,0,0,0,16000
198,조수행,1041,52,49,4,2,2,0,0,0,3100
199,조홍석,1045,1,1,0,0,0,0,0,0,12000
200,주효상,1049,14,11,0,0,0,1,3,0,2800
201,지석훈,10431,48,44,1,0,1,0,0,1,30000
202,지성준,1042,71,67,2,0,0,0,0,0,15500
203,진명호,1045,0,0,0,0,0,0,0,0,13000
204,채은성,1044,207,194,16,1,2,0,0,3,7000
205,채태인,1045,136,118,7,0,0,0,0,0,5400
206,초이스,1049,193,170,8,0,2,0,0,1,2900
207,최승준,1047,77,70,3,0,0,0,0,0,23000
208,최영진,1046,18,16,1,0,0,1,0,1,8000
209,최원준,1043,60,55,4,0,0,1,2,0,4700
210,최윤석,1042,0,0,0,0,0,0,0,0,13000
211,최재훈,1042,121,106,5,0,1,0,2,2,9000
212,최정,1047,210,175,8,0,6,0,0,0,30000
213,최정민,1043,36,32,0,0,0,1,0,0,4200
214,최주환,1041,206,184,17,6,1,0,0,3,60000
215,최준석,10431,81,74,3,0,0,0,0,0,9000
216,최진행,1042,59,50,1,0,0,0,0,0,100000
217,최항,1047,80,73,7,1,1,1,0,0,15000
218,최형우,1043,199,175,11,1,1,0,0,3,50000
219,파레디스,1041,63,59,2,1,1,0,0,0,2700
220,하주석,1042,184,174,5,1,2,2,1,0,9000
221,한동민,1047,180,156,8,0,2,0,0,1,5500
222,한동희,1045,85,81,2,1,0,0,0,1,80000
223,한승택,1043,1,1,0,0,0,0,0,0,3000
224,함덕주,1041,0,0,0,0,0,0,0,0,3300
225,허경민,1041,169,148,8,3,4,2,4,2,4200
226,허도환,1047,0,0,0,0,0,0,0,0,25000
227,허정협,1049,16,16,1,0,0,0,0,0,3000
228,호잉,1042,194,170,14,1,7,4,0,1,2700
229,홍성갑,1049,8,8,0,0,0,0,0,0,11000
230,홍재호,1043,21,20,1,0,0,0,0,0,3500
231,홍현빈,10848,15,13,0,0,1,0,0,0,3000
232,황경태,1041,2,2,0,0,0,0,0,0,2800
233,황윤호,1043,29,27,1,0,2,2,2,0,32000
234,황인준,1043,2,2,0,0,0,0,0,0,4500
235,황재균,10848,219,196,16,3,7,3,0,2,20000
236,황진수,1045,7,7,0,0,0,0,0,0,27000
237,이진영,10848,99,92,6,1,0,1,0,0,40000
238,정성훈,1043,109,97,6,0,0,1,0,0,10000
239,박헌욱,10431,20,19,1,0,0,0,0,0,2700
